"","lon","lat"
"1074",-119.4179324,36.778261
"1075",-84.3879824,33.7489954
"1076",NA,NA
"1077",-74.0059413,40.7127837
"1078",-99.133208,19.4326077
"1079",-117.1610838,32.715738
"1080",-111.9260519,33.4941704
"1081",-76.4418868,41.6000752
"1082",-95.3010624,32.3512601
"1083",77.0266383,28.4594965
"1084",-79.0215336,-8.1090524
"1085",-95.712891,37.09024
"1086",-117.9992265,33.660297
"1087",-101.6088768,17.6627287
"1088",-83.0790865,42.8105356
"1089",-73.2006639,41.2428563
"1090",-71.0588801,42.3600825
"1091",144.9937739,-37.8491409
"1092",-46.6333094,-23.5505199
"1093",-73.9202391,41.6002842
"1094",-106.8654066,28.406359
"1095",-71.0588801,42.3600825
"1096",-91.20677,29.6993748
"1097",-80.782127,8.537981
"1098",-85.3096801,35.0456297
"1099",NA,NA
"1100",NA,NA
"1101",-84.2700179,37.8393332
"1102",-87.5761371,41.7964546
"1103",-74.0059413,40.7127837
"1104",-68.1220016,-38.8298111
"1105",NA,NA
"1106",-64.7782313,46.0878165
"1107",-95.712891,37.09024
"1108",-1.1743197,52.3555177
"1109",51.5310398,25.2854473
"1110",-87.8431078,41.5853107
"1111",-78.7713316,38.4873902
"1112",-83.203689,39.721208
"1113",-73.9901119,40.7560866
"1114",-73.2936588,45.44889
"1115",21.824312,39.074208
"1116",-1.5490774,53.8007554
"1117",-66.590149,18.220833
"1118",14.375416,35.937496
"1119",-88.4470508,43.7730448
"1120",2.70162,48.404676
"1121",99.1966559,61.0137097
"1122",-0.1726065,51.4914925
"1123",76.9558321,11.0168445
"1124",-74.0059413,40.7127837
"1125",-87.1213953,35.9820074
"1126",21.0122287,52.2296756
"1127",-74.4056612,40.0583238
"1128",NA,NA
"1129",-122.286865,38.2975381
"1130",-3.435973,55.378051
"1131",18.643501,60.128161
"1132",-74.0059413,40.7127837
"1133",-71.4128343,41.8239891
"1134",NA,NA
"1135",-122.4194155,37.7749295
"1136",-87.6297982,41.8781136
"1137",-122.3320708,47.6062095
"1138",31.0218404,-29.8586804
"1139",105.318756,61.52401
"1140",-43.2581953,-22.8923272
"1141",-81.6943605,41.49932
"1142",-120.5542012,43.8041334
"1143",NA,NA
"1144",-112.3576567,33.4353394
"1145",-74.0059413,40.7127837
"1146",-46.6333094,-23.5505199
"1147",-95.712891,37.09024
"1148",NA,NA
"1149",-81.0998342,32.0835407
"1150",-71.2511443,42.7795216
"1151",-96.3344068,30.627977
"1152",-90.5154508,14.5995887
"1153",69.345116,30.375321
"1154",-66.58973,6.42375
"1155",36.8219462,-1.2920659
"1156",-119.1770516,34.1975048
"1157",-17.4581088,14.7227238
"1158",-74.0059413,40.7127837
"1159",NA,NA
"1160",NA,NA
"1161",-76.6412712,39.0457549
"1162",-74.0059413,40.7127837
"1163",-80.2481666,43.5448048
"1164",138.252924,36.204824
"1165",54.3773438,24.453884
"1166",-88.89653,13.794185
"1167",-71.1211635,42.3317642
"1168",-105.8700901,34.5199402
"1169",-79.7919754,36.0726354
"1170",139.6917064,35.6894875
"1171",-65.9626213,18.3803255
"1172",-79.9223592,-2.1709979
"1173",4.747658,45.620885
"1174",-70.3975022,-23.6509279
"1175",8.2722569,50.4859255
"1176",-79.532157,43.8169837
"1177",9.9936818,53.5510846
"1178",NA,NA
"1179",-77.4724875,42.5542347
"1180",-117.1610838,32.715738
"1181",-48.4901968,-1.4557794
"1182",-95.712891,37.09024
"1183",-100.5247435,40.6269856
"1184",-65.9626213,18.3803255
"1185",NA,NA
"1186",14.4378005,50.0755381
"1187",15.7193616,50.9044171
"1188",-117.2949359,49.4917843
